1693198364.321107,0
1693198364.451823,6
1693198364.613604,54
1693198364.743520,80
1693198364.877157,100
1693198364.994117,100
1693198365.122620,99
1693198365.251207,100
1693198365.378352,100
1693198365.504014,100
1693198365.691508,91
1693198365.832145,49
1693198365.973776,29
1693198366.100712,31
1693198366.239107,98
1693198366.363244,99
1693198366.489547,100
1693198366.626977,99
1693198366.766681,90
1693198366.895157,95
1693198367.045576,83
1693198367.183744,75
1693198367.308958,45
1693198367.432384,41
1693198367.564143,42
1693198367.688336,43
1693198367.811570,45
1693198367.945685,46
1693198368.074525,46
1693198368.203678,47
1693198368.330139,48
1693198368.456015,45
1693198368.588792,49
1693198368.719930,46
1693198368.856253,50
1693198368.996509,50
1693198369.129341,52
1693198369.259976,52
1693198369.392344,52
1693198369.520672,52
1693198369.664785,53
1693198369.800190,51
1693198369.930845,55
1693198370.059547,55
1693198370.186258,55
1693198370.322931,53
1693198370.464902,58
1693198370.596345,66
1693198370.729043,65
1693198370.857322,81
1693198370.982672,88
1693198371.110943,87
1693198371.232365,54
1693198371.373592,60
1693198371.511053,66
1693198371.638295,71
1693198371.771579,82
1693198371.892913,90
1693198372.022637,90
1693198372.147842,61
1693198372.266107,61
1693198372.396535,69
1693198372.522985,70
1693198372.655577,81
1693198372.797099,84
1693198372.921208,93
1693198373.044730,72
1693198373.168159,66
1693198373.294353,66
1693198373.418508,66
1693198373.546384,65
1693198373.675885,66
1693198373.822439,59
1693198373.966365,66
1693198374.094142,67
1693198374.224869,69
1693198374.350532,65
1693198374.481175,69
1693198374.611785,66
1693198374.737192,69
1693198374.863081,69
1693198374.991303,68
1693198375.116881,70
1693198375.250873,69
1693198375.378306,72
1693198375.510868,71
1693198375.646675,73
1693198375.771793,72
1693198375.896216,73
1693198376.025300,73
1693198376.153082,73
1693198376.279246,74
1693198376.403150,74
1693198376.533899,74
1693198376.658330,74
1693198376.806185,71
1693198376.930751,76
1693198377.056479,76
1693198377.182836,77
1693198377.310826,78
1693198377.445820,76
1693198377.571936,77
1693198377.702447,79
1693198377.827196,77
1693198377.963758,79
1693198378.123030,74
1693198378.248404,81
1693198378.387217,84
1693198378.513201,89
1693198378.637376,90
1693198378.792540,98
1693198378.916134,99
1693198379.045138,96
1693198379.167172,97
1693198379.289448,96
1693198379.418859,100
1693198379.545345,83
1693198379.689651,73
1693198379.822654,33
1693198379.960943,45
1693198380.123176,45
1693198380.249239,64
1693198380.383408,73
1693198380.538963,41
1693198380.668623,47
1693198380.805314,57
1693198380.951644,65
1693198381.093611,77
1693198381.216852,69
1693198381.341320,49
1693198381.460879,47
1693198381.587578,48
1693198381.711801,49
1693198381.856733,51
1693198381.981797,49
1693198382.111103,50
1693198382.235166,52
1693198382.364210,51
1693198382.492144,53
1693198382.613000,50
1693198382.738790,52
1693198382.869504,53
1693198383.000608,53
1693198383.143434,54
1693198383.269829,55
1693198383.399756,53
1693198383.533106,55
1693198383.657507,56
1693198383.782890,59
1693198383.912885,58
1693198384.039174,59
1693198384.161700,60
1693198384.290883,60
1693198384.424248,57
1693198384.548966,59
1693198384.679623,61
1693198384.809503,63
1693198384.959551,61
1693198385.099611,62
1693198385.217036,62
1693198385.350557,63
1693198385.487884,61
1693198385.618143,64
1693198385.741545,65
